name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
Kohei Uchimura,M,19.0,160.0,54.0,21.09,Japan,2008,Summer,Japan,Gymnastics,Silver
Kohei Uchimura,M,23.0,160.0,54.0,21.09,Japan,2012,Summer,Japan,Gymnastics,Gold
Kohei Uchimura,M,23.0,160.0,54.0,21.09,Japan,2012,Summer,Japan,Gymnastics,Silver
Kohei Uchimura,M,23.0,160.0,54.0,21.09,Japan,2012,Summer,Japan,Gymnastics,Silver
Kohei Uchimura,M,27.0,160.0,54.0,21.09,Japan,2016,Summer,Japan,Gymnastics,Gold
Kohei Uchimura,M,27.0,160.0,54.0,21.09,Japan,2016,Summer,Japan,Gymnastics,Gold
Masato Uchishiba,M,26.0,160.0,66.0,25.78,Japan,2004,Summer,Japan,Judo,Gold
Masato Uchishiba,M,30.0,160.0,66.0,25.78,Japan,2008,Summer,Japan,Judo,Gold
Filip Ude,M,22.0,170.0,68.0,23.53,Croatia,2008,Summer,Croatia,Gymnastics,Silver
Vanja (Franjo-) Udovii,M,21.0,193.0,94.0,25.24,Serbia,2004,Summer,Serbia and Montenegro,Water Polo,Silver
Vanja (Franjo-) Udovii,M,25.0,193.0,94.0,25.24,Serbia,2008,Summer,Serbia,Water Polo,Bronze
Vanja (Franjo-) Udovii,M,29.0,193.0,94.0,25.24,Serbia,2012,Summer,Serbia,Water Polo,Bronze
Haruka Ueda,F,24.0,177.0,68.0,21.71,Japan,2012,Summer,Japan,Swimming,Bronze
Koji Uehara,M,29.0,186.0,85.0,24.57,Japan,2004,Summer,Japan,Baseball,Bronze
Masae Ueno,F,25.0,160.0,70.0,27.34,Japan,2004,Summer,Japan,Judo,Gold
Masae Ueno,F,29.0,160.0,70.0,27.34,Japan,2008,Summer,Japan,Judo,Gold
Yoshie Ueno,F,29.0,164.0,63.0,23.42,Japan,2012,Summer,Japan,Judo,Bronze
Yukiko Ueno,F,22.0,174.0,72.0,23.78,Japan,2004,Summer,Japan,Softball,Bronze
Yukiko Ueno,F,26.0,174.0,72.0,23.78,Japan,2008,Summer,Japan,Softball,Gold
Yordenis Ugs Hernndez,M,22.0,176.0,60.0,19.37,Cuba,2008,Summer,Cuba,Boxing,Bronze
Michael Uhrmann,M,23.0,181.0,64.0,19.54,Germany,2002,Winter,Germany,Ski Jumping,Gold
Michael Uhrmann,M,31.0,181.0,64.0,19.54,Germany,2010,Winter,Germany,Ski Jumping,Silver
Dirk Uittenbogaard,M,26.0,199.0,93.0,23.48,Netherlands,2016,Summer,Netherlands,Rowing,Bronze
Ivan Sergeyevich Ukhov,M,26.0,192.0,67.0,18.17,Russia,2012,Summer,Russia,Athletics,Gold
Sergey Valeryevich Ulegin,M,30.0,181.0,77.0,23.5,Russia,2008,Summer,Russia,Canoeing,Silver
Stefan Ulm,M,28.0,188.0,83.0,23.48,Germany,2004,Summer,Germany,Canoeing,Silver
Sarah Elizabeth Ulmer,F,28.0,167.0,64.0,22.95,New Zealand,2004,Summer,New Zealand,Cycling,Gold
Thomas Ulsrud,M,38.0,185.0,73.77,21.55,Norway,2010,Winter,Norway,Curling,Silver
Maider Unda Gonzlez de Audicana,F,35.0,176.0,72.0,23.24,Spain,2012,Summer,Spain,Wrestling,Bronze
Mikls Ungvri,M,31.0,176.0,76.0,24.54,Hungary,2012,Summer,Hungary,Judo,Silver
Lisa Unruh,F,28.0,180.0,68.0,20.99,Germany,2016,Summer,Germany,Archery,Silver
Laura Emma Unsworth,F,24.0,157.0,55.0,22.31,United Kingdom,2012,Summer,Great Britain,Hockey,Bronze
Laura Emma Unsworth,F,28.0,157.0,55.0,22.31,United Kingdom,2016,Summer,Great Britain,Hockey,Gold
Helen Lesley Upperton,F,30.0,175.0,73.0,23.84,Canada,2010,Winter,Canada-2,Bobsleigh,Silver
Yoandri Urgells Cobas,M,23.0,178.0,86.0,27.14,Cuba,2004,Summer,Cuba,Baseball,Gold
Yoandri Urgells Cobas,M,27.0,178.0,86.0,27.14,Cuba,2008,Summer,Cuba,Baseball,Silver
Osmani Urrutia Ramrez,M,28.0,178.0,107.0,33.77,Cuba,2004,Summer,Cuba,Baseball,Gold
Storm Uru,M,27.0,190.0,70.0,19.39,New Zealand,2012,Summer,New Zealand,Rowing,Bronze
Marius Daniel Urzic,M,28.0,163.0,57.0,21.45,Romania,2004,Summer,Romania,Gymnastics,Bronze
Marius Daniel Urzic,M,28.0,163.0,57.0,21.45,Romania,2004,Summer,Romania,Gymnastics,Silver
Dmitry Arkadyevich Ushakov,M,23.0,177.0,64.0,20.43,Russia,2012,Summer,Russia,Trampolining,Silver
Konstantin Anatolyevich Ushakov,M,34.0,198.0,77.0,19.64,Russia,2004,Summer,Russia,Volleyball,Bronze
Oleksandr Oleksandrovych Usik,M,25.0,191.0,91.0,24.94,Ukraine,2012,Summer,Ukraine,Boxing,Gold
Yana Viktorovna Uskova,F,22.0,167.0,57.0,20.44,Russia,2008,Summer,Russia,Handball,Silver
scar Alfredo Ustari,M,22.0,183.0,84.0,25.08,Argentina,2008,Summer,Argentina,Football,Gold
Yevgeny Romanovich Ustyugov,M,24.0,168.0,60.0,21.26,Russia,2010,Winter,Russia,Biathlon,Gold
Yevgeny Romanovich Ustyugov,M,24.0,168.0,60.0,21.26,Russia,2010,Winter,Russia,Biathlon,Bronze
Yevgeny Romanovich Ustyugov,M,28.0,168.0,60.0,21.26,Russia,2014,Winter,Russia,Biathlon,Gold
Anna Vladimirovna Ustyukhina,F,27.0,177.0,70.0,22.34,Russia,2016,Summer,Russia,Water Polo,Bronze
Reika Utsugi,F,41.0,170.0,68.0,23.53,Japan,2004,Summer,Japan,Softball,Bronze
Andrew Utting,M,26.0,187.0,98.0,28.02,Australia,2004,Summer,Australia,Baseball,Silver
Markku Juhani Uusipaavalniemi,M,39.0,187.0,95.0,27.17,Finland,2006,Winter,Finland,Curling,Silver
Bruno Uvini Bortolana,M,21.0,190.0,85.0,23.55,Brazil,2012,Summer,Brazil,Football,Silver
Jochem Simon Uytdehaage,M,25.0,174.0,70.0,23.12,Netherlands,2002,Winter,Netherlands,Speed Skating,Silver
Jochem Simon Uytdehaage,M,25.0,174.0,70.0,23.12,Netherlands,2002,Winter,Netherlands,Speed Skating,Gold
Jochem Simon Uytdehaage,M,25.0,174.0,70.0,23.12,Netherlands,2002,Winter,Netherlands,Speed Skating,Gold
Ossi Reijo Juhani Vnnen,M,33.0,191.0,99.0,27.14,Finland,2014,Winter,Finland,Ice Hockey,Bronze
Lars Magnus Vgberg,M,34.0,185.0,85.0,24.84,Norway,2002,Winter,Norway,Curling,Gold
Sarah Marie Vaillancourt,F,20.0,168.0,63.0,22.32,Canada,2006,Winter,Canada,Ice Hockey,Gold
Sarah Marie Vaillancourt,F,24.0,168.0,63.0,22.32,Canada,2010,Winter,Canada,Ice Hockey,Gold
Attila Sandr Vajda,M,21.0,177.0,86.0,27.45,Hungary,2004,Summer,Hungary,Canoeing,Bronze
Attila Sandr Vajda,M,25.0,177.0,86.0,27.45,Hungary,2008,Summer,Hungary,Canoeing,Gold
Fulvio Valbusa,M,36.0,172.0,72.0,24.34,Italy,2006,Winter,Italy,Cross Country Skiing,Gold
Sabina Valbusa,F,34.0,167.0,57.0,20.44,Italy,2006,Winter,Italy,Cross Country Skiing,Bronze
Martina Valcepina,F,21.0,168.0,60.0,21.26,Italy,2014,Winter,Italy,Short Track Speed Skating,Bronze
Ale Valenta,M,29.0,179.0,75.0,23.41,Czechia,2002,Winter,Czech Republic,Freestyle Skiing,Gold
Jennifer Valente,F,21.0,176.0,74.0,23.89,United States of America,2016,Summer,United States,Cycling,Silver
Lidia Valentn Prez,F,31.0,169.0,75.0,26.26,Spain,2016,Summer,Spain,Weightlifting,Bronze
"Valeska ""Valeskinha"" dos Santos Menezes",F,32.0,180.0,62.0,19.14,Brazil,2008,Summer,Brazil,Volleyball,Gold
Linda Vlimki,F,19.0,166.0,70.0,25.4,Finland,2010,Winter,Finland,Ice Hockey,Bronze
Jean-Charles Valladont,M,27.0,180.0,83.0,25.62,France,2016,Summer,France,Archery,Silver
Thibaut Vallette,M,42.0,171.0,60.0,20.52,France,2016,Summer,France,Equestrianism,Gold
Antoine Valois-Fortier,M,22.0,190.0,81.0,22.44,Canada,2012,Summer,Canada,Judo,Bronze
Franziska van Almsick,F,26.0,181.0,66.0,20.15,Germany,2004,Summer,Germany,Swimming,Bronze
Franziska van Almsick,F,26.0,181.0,66.0,20.15,Germany,2004,Summer,Germany,Swimming,Bronze
Naomi Frances van As,F,25.0,179.0,63.0,19.66,Netherlands,2008,Summer,Netherlands,Hockey,Gold
Naomi Frances van As,F,28.0,179.0,63.0,19.66,Netherlands,2012,Summer,Netherlands,Hockey,Gold
Naomi Frances van As,F,33.0,179.0,63.0,19.66,Netherlands,2016,Summer,Netherlands,Hockey,Silver
"Charlotte Willemijn ""Lotte"" van Beek",F,22.0,180.0,69.0,21.3,Netherlands,2014,Winter,Netherlands,Speed Skating,Bronze
"Charlotte Willemijn ""Lotte"" van Beek",F,22.0,180.0,69.0,21.3,Netherlands,2014,Winter,Netherlands,Speed Skating,Gold
Iefke van Belkum,F,22.0,185.0,75.0,21.91,Netherlands,2008,Summer,Netherlands,Water Polo,Gold
Rodney Van Buizen,M,23.0,180.0,92.0,28.4,Australia,2004,Summer,Australia,Baseball,Silver
Gillian Maria Elisabeth van den Berg,F,36.0,173.0,66.0,22.05,Netherlands,2008,Summer,Netherlands,Water Polo,Gold
Marieke van den Ham,F,25.0,169.0,80.0,28.01,Netherlands,2008,Summer,Netherlands,Water Polo,Gold
Pieter Cornelis Martijn van den Hoogenband,M,26.0,193.0,80.0,21.48,Netherlands,2004,Summer,Netherlands,Swimming,Gold
Pieter Cornelis Martijn van den Hoogenband,M,26.0,193.0,80.0,21.48,Netherlands,2004,Summer,Netherlands,Swimming,Silver
Pieter Cornelis Martijn van den Hoogenband,M,26.0,193.0,80.0,21.48,Netherlands,2004,Summer,Netherlands,Swimming,Silver
Anna van der Breggen,F,26.0,167.0,56.0,20.08,Netherlands,2016,Summer,Netherlands,Cycling,Gold
Anna van der Breggen,F,26.0,167.0,56.0,20.08,Netherlands,2016,Summer,Netherlands,Cycling,Bronze
Dennis van der Geest,M,29.0,196.0,128.0,33.32,Netherlands,2004,Summer,Netherlands,Judo,Bronze
Robert Adriaan van der Horst,M,27.0,179.0,74.0,23.1,Netherlands,2012,Summer,Netherlands,Hockey,Silver
Kirsten Irene Merian van der Kolk (-Aardewijn),F,28.0,172.0,55.0,18.59,Netherlands,2004,Summer,Netherlands,Rowing,Bronze
Kirsten Irene Merian van der Kolk (-Aardewijn),F,32.0,172.0,55.0,18.59,Netherlands,2008,Summer,Netherlands,Rowing,Gold
Ilse Suzanne van der Meijden,F,19.0,185.0,71.0,20.75,Netherlands,2008,Summer,Netherlands,Water Polo,Gold
Macha Alexandra van der Vaart,F,32.0,164.0,52.0,19.33,Netherlands,2004,Summer,Netherlands,Hockey,Silver
Maikel Leonardus van der Vleuten,M,24.0,170.0,60.0,20.76,Netherlands,2012,Summer,Netherlands,Equestrianism,Silver
Mink Alphons van der Weerden,M,23.0,178.0,83.0,26.2,Netherlands,2012,Summer,Netherlands,Hockey,Silver
Sander Petrus Henricus van der Weide,M,28.0,183.0,81.0,24.19,Netherlands,2004,Summer,Netherlands,Hockey,Silver
Maarten van der Weijden,M,27.0,205.0,92.0,21.89,Netherlands,2008,Summer,Netherlands,Swimming,Gold
Anicka van Emden,F,29.0,169.0,63.0,22.06,Netherlands,2016,Summer,Netherlands,Judo,Bronze
Marit van Eupen,F,34.0,176.0,59.0,19.05,Netherlands,2004,Summer,Netherlands,Rowing,Bronze
Marit van Eupen,F,38.0,176.0,59.0,19.05,Netherlands,2008,Summer,Netherlands,Rowing,Gold
"Marianne Antoinette ""Miek"" van Geenhuizen",F,22.0,166.0,63.0,22.86,Netherlands,2004,Summer,Netherlands,Hockey,Silver
"Marianne Antoinette ""Miek"" van Geenhuizen",F,26.0,166.0,63.0,22.86,Netherlands,2008,Summer,Netherlands,Hockey,Gold
Margot van Geffen,F,22.0,172.0,63.0,21.3,Netherlands,2012,Summer,Netherlands,Hockey,Gold
Margot van Geffen,F,26.0,172.0,63.0,21.3,Netherlands,2016,Summer,Netherlands,Hockey,Silver
Jelle van Gorkom,M,25.0,187.0,93.0,26.59,Netherlands,2016,Summer,Netherlands,Cycling,Silver
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,36.0,172.0,56.0,18.93,Netherlands,2004,Summer,Netherlands,Equestrianism,Gold
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,40.0,172.0,56.0,18.93,Netherlands,2008,Summer,Netherlands,Equestrianism,Gold
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,40.0,172.0,56.0,18.93,Netherlands,2008,Summer,Salinero,Equestrianism,Silver
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,44.0,172.0,56.0,18.93,Netherlands,2012,Summer,Netherlands,Equestrianism,Bronze
Lieve van Kessel,F,26.0,169.0,66.0,23.11,Netherlands,2004,Summer,Netherlands,Hockey,Silver
Adam Joseph Van Koeverden,M,22.0,182.0,85.0,25.66,Canada,2004,Summer,Canada,Canoeing,Gold
Adam Joseph Van Koeverden,M,22.0,182.0,85.0,25.66,Canada,2004,Summer,Canada,Canoeing,Bronze
Adam Joseph Van Koeverden,M,26.0,182.0,85.0,25.66,Canada,2008,Summer,Canada,Canoeing,Silver
Adam Joseph Van Koeverden,M,30.0,182.0,85.0,25.66,Canada,2012,Summer,Canada,Canoeing,Silver
Chantal Jean Van Landeghem,F,22.0,180.0,77.0,23.77,Canada,2016,Summer,Canada,Swimming,Bronze
Caia Jaqueline van Maasakker,F,23.0,180.0,69.0,21.3,Netherlands,2012,Summer,Netherlands,Hockey,Gold
Caia Jaqueline van Maasakker,F,27.0,180.0,69.0,21.3,Netherlands,2016,Summer,Netherlands,Hockey,Silver
Kitty van Male,F,24.0,170.0,63.0,21.8,Netherlands,2012,Summer,Netherlands,Hockey,Gold
Kitty van Male,F,28.0,170.0,63.0,21.8,Netherlands,2016,Summer,Netherlands,Hockey,Silver
Moriah Van Norman,F,24.0,178.0,95.0,29.98,United States of America,2008,Summer,United States,Water Polo,Silver
Laurine van Riessen,F,22.0,167.0,63.0,22.59,Netherlands,2010,Winter,Netherlands,Speed Skating,Bronze
Dorian Benno Eric van Rijsselberge,M,23.0,189.0,75.0,21.0,Netherlands,2012,Summer,Netherlands,Sailing,Gold
Dorian Benno Eric van Rijsselberge,M,27.0,189.0,75.0,21.0,Netherlands,2016,Summer,Netherlands,Sailing,Gold
Manon van Rooijen,F,26.0,178.0,67.0,21.15,Netherlands,2008,Summer,Netherlands,Swimming,Gold
Sharon van Rouwendaal,F,22.0,173.0,65.0,21.72,Netherlands,2016,Summer,Netherlands,Swimming,Gold
Annemarieke van Rumpt,F,24.0,186.0,73.0,21.1,Netherlands,2004,Summer,Netherlands,Rowing,Bronze
Annemarieke van Rumpt,F,28.0,186.0,73.0,21.1,Netherlands,2008,Summer,Netherlands,Rowing,Silver
Gerard Pieter Hendrik van Velde,M,30.0,192.0,87.0,23.6,Netherlands,2002,Winter,Netherlands,Speed Skating,Gold
Simon van Velthooven,M,23.0,185.0,92.0,26.88,New Zealand,2012,Summer,New Zealand,Cycling,Bronze
"Kimberly ""Kim"" Vandenberg",F,24.0,173.0,59.0,19.71,United States of America,2008,Summer,United States,Swimming,Bronze
Peter William Vanderkaay,M,20.0,193.0,95.0,25.5,United States of America,2004,Summer,United States,Swimming,Gold
Peter William Vanderkaay,M,24.0,193.0,95.0,25.5,United States of America,2008,Summer,United States,Swimming,Bronze
Peter William Vanderkaay,M,24.0,193.0,95.0,25.5,United States of America,2008,Summer,United States,Swimming,Gold
Peter William Vanderkaay,M,28.0,193.0,95.0,25.5,United States of America,2012,Summer,United States,Swimming,Bronze
Jan Vandrey,M,24.0,188.0,88.0,24.9,Germany,2016,Summer,Germany,Canoeing,Gold
Simone Vanni,M,25.0,176.0,73.0,23.57,Italy,2004,Summer,Italy,Fencing,Gold
Armen Frunzekovych Vardanian,M,25.0,172.0,66.0,22.31,Ukraine,2008,Summer,Ukraine,Wrestling,Bronze
Peter Dale Varellas,M,23.0,191.0,89.0,24.4,United States of America,2008,Summer,United States,Water Polo,Silver
Dniel Rudolf Varga,M,24.0,201.0,96.0,23.76,Hungary,2008,Summer,Hungary,Water Polo,Gold
Dnes Andor Varga,M,21.0,193.0,96.0,25.77,Hungary,2008,Summer,Hungary,Water Polo,Gold
Tams Varga,M,29.0,201.0,105.0,25.99,Hungary,2004,Summer,Hungary,Water Polo,Gold
Tams Varga,M,33.0,201.0,105.0,25.99,Hungary,2008,Summer,Hungary,Water Polo,Gold
Laura Vargas Koch,F,26.0,173.0,70.0,23.39,Germany,2016,Summer,Germany,Judo,Bronze
Attila Vri,M,28.0,200.0,93.0,23.25,Hungary,2004,Summer,Hungary,Water Polo,Gold
"Jacob Stephen ""Jake"" Varner",M,26.0,185.0,96.0,28.05,United States of America,2012,Summer,United States,Wrestling,Gold
Alexis Alain Vastine,M,21.0,184.0,69.0,20.38,France,2008,Summer,France,Boxing,Bronze
Sami Vatanen,M,22.0,177.0,79.0,25.22,Finland,2014,Winter,Finland,Ice Hockey,Bronze
Pierre Vaultier,M,26.0,186.0,77.0,22.26,France,2014,Winter,France,Snowboarding,Gold
Jacobine Liduina Veenhoven,F,28.0,183.0,72.0,21.5,Netherlands,2012,Summer,Netherlands,Rowing,Bronze
Mark Hermanus Maria Veens,M,26.0,189.0,90.0,25.2,Netherlands,2004,Summer,Netherlands,Swimming,Silver
Klaas Willem Veering,M,22.0,190.0,86.0,23.82,Netherlands,2004,Summer,Netherlands,Hockey,Silver
Manuel Alberto Vega Tamayo,M,29.0,191.0,85.0,23.3,Cuba,2004,Summer,Cuba,Baseball,Gold
"Magdalena Johanna Maria ""Marleen"" Veldhuis",F,25.0,182.0,67.0,20.23,Netherlands,2004,Summer,Netherlands,Swimming,Bronze
"Magdalena Johanna Maria ""Marleen"" Veldhuis",F,29.0,182.0,67.0,20.23,Netherlands,2008,Summer,Netherlands,Swimming,Gold
"Magdalena Johanna Maria ""Marleen"" Veldhuis",F,33.0,182.0,67.0,20.23,Netherlands,2012,Summer,Netherlands,Swimming,Bronze
"Magdalena Johanna Maria ""Marleen"" Veldhuis",F,33.0,182.0,67.0,20.23,Netherlands,2012,Summer,Netherlands,Swimming,Silver
Sofiya Aleksandrovna Velikaya,F,27.0,175.0,70.0,22.86,Russia,2012,Summer,Russia,Fencing,Silver
Sofiya Aleksandrovna Velikaya,F,31.0,175.0,70.0,22.86,Russia,2016,Summer,Russia,Fencing,Silver
Sofiya Aleksandrovna Velikaya,F,31.0,175.0,70.0,22.86,Russia,2016,Summer,Russia,Fencing,Gold
Stefana Veljkovi,F,26.0,190.0,76.0,21.05,Serbia,2016,Summer,Serbia,Volleyball,Silver
Adam Joseph Vella,M,33.0,178.0,92.0,29.04,Australia,2004,Summer,Australia,Shooting,Bronze
Matthijs Vellenga,M,26.0,200.0,93.0,23.25,Netherlands,2004,Summer,Netherlands,Rowing,Silver
Alessandro Velotto,M,21.0,186.0,85.0,24.57,Italy,2016,Summer,Italy,Water Polo,Bronze
Erik K. Vendt,M,23.0,180.0,75.0,23.15,United States of America,2004,Summer,United States,Swimming,Silver
Erik K. Vendt,M,27.0,180.0,75.0,23.15,United States of America,2008,Summer,United States,Swimming,Gold
Simone Venier,M,23.0,196.0,94.0,24.47,Italy,2008,Summer,Italy,Rowing,Silver
Norge Luis Vera Peralta,M,33.0,191.0,90.0,24.67,Cuba,2004,Summer,Cuba,Baseball,Gold
Norge Luis Vera Peralta,M,37.0,191.0,90.0,24.67,Cuba,2008,Summer,Cuba,Baseball,Silver
Tonya Lynn Verbeek,F,26.0,165.0,55.0,20.2,Canada,2004,Summer,Canada,Wrestling,Silver
Tonya Lynn Verbeek,F,30.0,165.0,55.0,20.2,Canada,2008,Summer,Canada,Wrestling,Bronze
Tonya Lynn Verbeek,F,34.0,165.0,55.0,20.2,Canada,2012,Summer,Canada,Wrestling,Silver
Aleksey Igoryevich Verbov,M,22.0,183.0,79.0,23.59,Russia,2004,Summer,Russia,Volleyball,Bronze
Aleksey Igoryevich Verbov,M,26.0,183.0,79.0,23.59,Russia,2008,Summer,Russia,Volleyball,Bronze
David Verburg,M,25.0,173.0,70.0,23.39,United States of America,2016,Summer,United States,Athletics,Gold
kos Vereckei,M,26.0,188.0,88.0,24.9,Hungary,2004,Summer,Hungary,Canoeing,Gold
Valentin Verga,M,22.0,180.0,87.0,26.85,Netherlands,2012,Summer,Netherlands,Hockey,Silver
Carl Eduard Verheijen,M,30.0,181.0,75.0,22.89,Netherlands,2006,Winter,Netherlands,Speed Skating,Bronze
Carl Eduard Verheijen,M,30.0,181.0,75.0,22.89,Netherlands,2006,Winter,Netherlands,Speed Skating,Bronze
Maryna Mykolavna Verheliuk (Strilets-),F,26.0,178.0,64.0,20.2,Ukraine,2004,Summer,Ukraine,Handball,Bronze
"Gijsbert Theodor ""Gijs"" Vermeulen",M,23.0,189.0,88.0,24.64,Netherlands,2004,Summer,Netherlands,Rowing,Silver
Klaas Theodoor Vermeulen,M,24.0,179.0,79.0,24.66,Netherlands,2012,Summer,Netherlands,Hockey,Silver
Valerio Vermiglio,M,28.0,197.0,84.0,21.64,Italy,2004,Summer,Italy,Volleyball,Silver
Oleh Yuriyovych Verniaiev,M,22.0,161.0,55.0,21.22,Ukraine,2016,Summer,Ukraine,Gymnastics,Silver
Oleh Yuriyovych Verniaiev,M,22.0,161.0,55.0,21.22,Ukraine,2016,Summer,Ukraine,Gymnastics,Gold
Laura Vernizzi,F,18.0,175.0,48.0,15.67,Italy,2004,Summer,Italy,Rhythmic Gymnastics,Silver
"Annabel Morwenna ""Annie"" Vernon",F,25.0,178.0,75.0,23.67,United Kingdom,2008,Summer,Great Britain,Rowing,Silver
Maria Verschoor,F,22.0,164.0,58.0,21.56,Netherlands,2016,Summer,Netherlands,Hockey,Silver
"Pieter Gilles ""Mechiel"" Versluis",M,29.0,197.0,95.0,24.48,Netherlands,2016,Summer,Netherlands,Rowing,Bronze
Koen Verweij,M,23.0,182.0,83.0,25.06,Netherlands,2014,Winter,Netherlands,Speed Skating,Silver
Koen Verweij,M,23.0,182.0,83.0,25.06,Netherlands,2014,Winter,Netherlands,Speed Skating,Gold
Tatyana Leonidovna Veshkurova,F,26.0,175.0,64.0,20.9,Russia,2008,Summer,Russia,Athletics,Silver
Yelena Sergeyevna Vesnina,F,30.0,180.0,60.0,18.52,Russia,2016,Summer,Russia-2,Tennis,Gold
Mette Vestergaard Larsen (-Brandt),F,28.0,172.0,64.0,21.63,Denmark,2004,Summer,Denmark,Handball,Gold
"Jessica Ann ""Jessie"" Vetter",F,24.0,173.0,70.0,23.39,United States of America,2010,Winter,United States,Ice Hockey,Silver
"Jessica Ann ""Jessie"" Vetter",F,28.0,173.0,70.0,23.39,United States of America,2014,Winter,United States,Ice Hockey,Silver
Luca Vettori,M,25.0,200.0,95.0,23.75,Italy,2016,Summer,Italy,Volleyball,Silver
Maria Valentina Vezzali,F,30.0,164.0,54.0,20.08,Italy,2004,Summer,Italy,Fencing,Gold
Maria Valentina Vezzali,F,34.0,164.0,54.0,20.08,Italy,2008,Summer,Italy,Fencing,Gold
Maria Valentina Vezzali,F,34.0,164.0,54.0,20.08,Italy,2008,Summer,Italy,Fencing,Bronze
Maria Valentina Vezzali,F,38.0,164.0,54.0,20.08,Italy,2012,Summer,Italy,Fencing,Bronze
Maria Valentina Vezzali,F,38.0,164.0,54.0,20.08,Italy,2012,Summer,Italy,Fencing,Gold
Natalia Va Dufresne Perea,F,31.0,178.0,65.0,20.52,Spain,2004,Summer,Spain,Sailing,Silver
Sandro Ricardo Rodrigues Viana,M,31.0,188.0,77.0,21.79,Brazil,2008,Summer,Brazil,Athletics,Bronze
Anne-Laure Viard,F,27.0,174.0,68.0,22.46,France,2008,Summer,France,Canoeing,Bronze
Frano Vian,M,36.0,192.0,94.0,25.5,Croatia,2012,Summer,Croatia,Water Polo,Gold
Jimmy Vicaut,M,20.0,188.0,83.0,23.48,France,2012,Summer,France,Athletics,Bronze
Tania Vicent,F,26.0,168.0,59.0,20.9,Canada,2002,Winter,Canada,Short Track Speed Skating,Bronze
Tania Vicent,F,30.0,168.0,59.0,20.9,Canada,2006,Winter,Canada,Short Track Speed Skating,Silver
Tania Vicent,F,34.0,168.0,59.0,20.9,Canada,2010,Winter,Canada,Short Track Speed Skating,Silver
Giuseppe Vicino,M,23.0,195.0,95.0,24.98,Italy,2016,Summer,Italy,Rowing,Bronze
Doriane Monique Vidal,F,25.0,168.0,56.0,19.84,France,2002,Winter,France,Snowboarding,Silver
Jean-Pierre Andr Vidal,M,24.0,175.0,80.0,26.12,France,2002,Winter,France,Alpine Skiing,Gold
Sbastien Jean Servais Vielledent,M,27.0,190.0,85.0,23.55,France,2004,Summer,France,Rowing,Gold
Ingrid Anna Kristina Vikman,F,21.0,168.0,74.0,26.22,Sweden,2002,Winter,Sweden,Ice Hockey,Bronze
Ingrid Anna Kristina Vikman,F,25.0,168.0,74.0,26.22,Sweden,2006,Winter,Sweden,Ice Hockey,Silver
Lucas Martn Vila,M,29.0,172.0,75.0,25.35,Argentina,2016,Summer,Argentina,Hockey,Gold
Sandro Viletta,M,28.0,177.0,77.0,24.58,Switzerland,2014,Winter,Switzerland,Alpine Skiing,Gold
Brenda Villa,F,24.0,163.0,79.0,29.73,United States of America,2004,Summer,United States,Water Polo,Bronze
Brenda Villa,F,28.0,163.0,79.0,29.73,United States of America,2008,Summer,United States,Water Polo,Silver
Brenda Villa,F,32.0,163.0,79.0,29.73,United States of America,2012,Summer,United States,Water Polo,Gold
Olga Gennadyevna Vilukhina,F,25.0,172.0,65.0,21.97,Russia,2014,Winter,Russia,Biathlon,Silver
Olga Gennadyevna Vilukhina,F,25.0,172.0,65.0,21.97,Russia,2014,Winter,Russia,Biathlon,Silver
Tessa Jane Virtue (-McCormick),F,20.0,165.0,53.0,19.47,Canada,2010,Winter,Canada-1,Figure Skating,Gold
Tessa Jane Virtue (-McCormick),F,24.0,165.0,53.0,19.47,Canada,2014,Winter,Canada-1,Figure Skating,Silver
Tessa Jane Virtue (-McCormick),F,24.0,165.0,53.0,19.47,Canada,2014,Winter,Canada,Figure Skating,Silver
Erzsbet Viski,F,24.0,173.0,69.0,23.05,Hungary,2004,Summer,Hungary,Canoeing,Silver
Nina Gennadyevna Vislova,F,25.0,172.0,57.0,19.27,Russia,2012,Summer,Russia,Badminton,Bronze
Veronika Vtkov,F,25.0,166.0,56.0,20.32,Czechia,2014,Winter,Czech Republic,Biathlon,Silver
Juan Manuel Vivaldi,M,37.0,180.0,80.0,24.69,Argentina,2016,Summer,Argentina,Hockey,Gold
Elena Viviani,F,21.0,164.0,62.0,23.05,Italy,2014,Winter,Italy,Short Track Speed Skating,Bronze
Elia Viviani,M,27.0,177.0,70.0,22.34,Italy,2016,Summer,Italy,Cycling,Gold
Blanka Vlai,F,24.0,193.0,71.0,19.06,Croatia,2008,Summer,Croatia,Athletics,Silver
Blanka Vlai,F,32.0,193.0,71.0,19.06,Croatia,2016,Summer,Croatia,Athletics,Bronze
Marc-douard Vlasic,M,26.0,185.0,93.0,27.17,Canada,2014,Winter,Canada,Ice Hockey,Gold
Roman Andreyevich Vlasov,M,21.0,175.0,75.0,24.49,Russia,2012,Summer,Russia,Wrestling,Gold
Roman Andreyevich Vlasov,M,25.0,175.0,75.0,24.49,Russia,2016,Summer,Russia,Wrestling,Gold
