name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
"Robert Charles ""Bob"" Bryan",M,30.0,193.0,92.0,24.7,United States of America,2008,Summer,United States-1,Tennis,Bronze
"Robert Charles ""Bob"" Bryan",M,34.0,193.0,92.0,24.7,United States of America,2012,Summer,United States-1,Tennis,Gold
"Michael Carl ""Mike"" Bryan",M,30.0,191.0,87.0,23.85,United States of America,2008,Summer,United States-1,Tennis,Bronze
"Michael Carl ""Mike"" Bryan",M,34.0,191.0,87.0,23.85,United States of America,2012,Summer,United States-1,Tennis,Bronze
"Michael Carl ""Mike"" Bryan",M,34.0,191.0,87.0,23.85,United States of America,2012,Summer,United States-1,Tennis,Gold
Karina Louise Bryant,F,33.0,185.0,109.0,31.85,United Kingdom,2012,Summer,Great Britain,Judo,Bronze
Kelci Marie Bryant,F,23.0,160.0,61.0,23.83,United States of America,2012,Summer,United States,Diving,Silver
Kobe Bean Bryant,M,29.0,198.0,100.0,25.51,United States of America,2008,Summer,United States,Basketball,Gold
Kobe Bean Bryant,M,33.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Basketball,Gold
Yelyzaveta Viktorivna Bryzhina,F,22.0,173.0,63.0,21.05,Ukraine,2012,Summer,Ukraine,Athletics,Bronze
Ashley Brzozowicz,F,29.0,176.0,75.0,24.21,Canada,2012,Summer,Canada,Rowing,Silver
Karen Brdsgaard,F,26.0,178.0,71.0,22.41,Denmark,2004,Summer,Denmark,Handball,Gold
Kjersti stgrd Buaas,F,24.0,161.0,57.0,21.99,Norway,2006,Winter,Norway,Snowboarding,Bronze
Joshua Buatsi,M,23.0,185.0,81.0,23.67,United Kingdom,2016,Summer,Great Britain,Boxing,Bronze
Kadeisha Buchanan,F,20.0,170.0,65.0,22.49,Canada,2016,Summer,Canada,Football,Bronze
Matthijs Bchli,M,23.0,188.0,90.0,25.46,Netherlands,2016,Summer,Netherlands,Cycling,Silver
Rachel Marie Buehler (-Van Hollebeke),F,22.0,165.0,65.0,23.88,United States of America,2008,Summer,United States,Football,Gold
Rachel Marie Buehler (-Van Hollebeke),F,26.0,165.0,65.0,23.88,United States of America,2012,Summer,United States,Football,Gold
Luka Buki,M,22.0,195.0,90.0,23.67,Croatia,2016,Summer,Croatia,Water Polo,Silver
Yekaterina Borisovna Bukina,F,29.0,174.0,75.0,24.77,Russia,2016,Summer,Russia,Wrestling,Bronze
Diana Laura Bulimar,F,16.0,140.0,73.77,37.64,Romania,2012,Summer,Romania,Gymnastics,Bronze
Jan Bulis,M,27.0,186.0,92.0,26.59,Czechia,2006,Winter,Czech Republic,Ice Hockey,Bronze
Ivan Buljubai,M,24.0,198.0,108.0,27.55,Croatia,2012,Summer,Croatia,Water Polo,Gold
Massimo Bulleri,M,26.0,188.0,82.0,23.2,Italy,2004,Summer,Italy,Basketball,Silver
Chlo Bulleux,F,24.0,172.0,65.0,21.97,France,2016,Summer,France,Handball,Silver
Nicole Bullo,F,26.0,160.0,56.0,21.87,Switzerland,2014,Winter,Switzerland,Ice Hockey,Bronze
Darren Bundock,M,37.0,180.0,70.0,21.6,Australia,2008,Summer,Australia,Sailing,Silver
Denis Bunti,M,29.0,177.71,73.77,23.36,Croatia,2012,Summer,Croatia,Handball,Bronze
Diego Mario Buonanotte Rende,M,20.0,160.0,49.0,19.14,Argentina,2008,Summer,Argentina,Football,Gold
Caroline Stillwell Burckle,F,22.0,174.0,62.0,20.48,United States of America,2008,Summer,United States,Swimming,Bronze
Cdric Burdet,M,33.0,195.0,98.0,25.77,France,2008,Summer,France,Handball,Gold
Nicols Andrs Burdisso,M,23.0,182.0,82.0,24.76,Argentina,2004,Summer,Argentina,Football,Gold
Pavel Vladimirovich Bure,M,30.0,180.0,86.0,26.54,Russia,2002,Winter,Russia,Ice Hockey,Bronze
Valery Vladimirovich Bure,M,27.0,176.0,84.0,27.12,Russia,2002,Winter,Russia,Ice Hockey,Bronze
Nathan Burgers,M,33.0,185.0,82.0,23.96,Australia,2012,Summer,Australia,Hockey,Bronze
Phil Burgess,M,28.0,180.0,92.0,28.4,United Kingdom,2016,Summer,Great Britain,Rugby Sevens,Silver
